breed,width,height
Japanese spaniel,500,375
Japanese spaniel,400,322
Japanese spaniel,143,225
Japanese spaniel,640,480
Japanese spaniel,300,266
Japanese spaniel,800,600
Japanese spaniel,600,450
Japanese spaniel,421,405
Japanese spaniel,250,333
Japanese spaniel,180,180
Japanese spaniel,300,233
Japanese spaniel,300,225
Japanese spaniel,288,232
Japanese spaniel,640,558
Japanese spaniel,414,298
Japanese spaniel,300,237
Japanese spaniel,180,220
Japanese spaniel,378,303
Japanese spaniel,435,293
Japanese spaniel,442,277
Japanese spaniel,300,290
Japanese spaniel,473,355
Japanese spaniel,180,138
Japanese spaniel,400,295
Japanese spaniel,375,316
Japanese spaniel,362,429
Japanese spaniel,600,800
Japanese spaniel,320,280
Japanese spaniel,320,240
Japanese spaniel,250,211
Japanese spaniel,148,171
Japanese spaniel,320,379
Japanese spaniel,217,211
Japanese spaniel,200,150
Japanese spaniel,500,421
Japanese spaniel,600,449
Japanese spaniel,600,800
Japanese spaniel,515,446
Japanese spaniel,386,291
Japanese spaniel,350,369
Japanese spaniel,600,449
Japanese spaniel,640,480
Japanese spaniel,400,266
Japanese spaniel,385,391
Japanese spaniel,461,371
Japanese spaniel,530,397
Japanese spaniel,399,255
Japanese spaniel,480,600
Japanese spaniel,331,342
Japanese spaniel,385,391
Japanese spaniel,375,283
Japanese spaniel,373,373
Japanese spaniel,350,272
Japanese spaniel,600,448
Japanese spaniel,200,200
Japanese spaniel,600,449
Japanese spaniel,476,331
Japanese spaniel,240,184
Japanese spaniel,600,467
Japanese spaniel,640,713
Japanese spaniel,150,170
Japanese spaniel,432,365
Japanese spaniel,150,132
Japanese spaniel,180,148
Japanese spaniel,200,185
Japanese spaniel,350,337
Japanese spaniel,290,321
Japanese spaniel,400,341
Japanese spaniel,600,801
Japanese spaniel,817,429
Japanese spaniel,300,271
Japanese spaniel,600,449
Japanese spaniel,275,297
Japanese spaniel,350,469
Japanese spaniel,538,450
Japanese spaniel,200,183
Japanese spaniel,190,174
Japanese spaniel,210,210
Japanese spaniel,410,317
Japanese spaniel,240,240
Japanese spaniel,410,281
Japanese spaniel,375,500
Japanese spaniel,358,424
Japanese spaniel,567,452
Japanese spaniel,426,284
Japanese spaniel,398,550
Japanese spaniel,600,449
Japanese spaniel,186,207
Japanese spaniel,350,303
Japanese spaniel,287,350
Japanese spaniel,406,400
Japanese spaniel,237,250
Japanese spaniel,460,447
Japanese spaniel,196,260
Japanese spaniel,450,390
Japanese spaniel,200,200
Japanese spaniel,200,200
Japanese spaniel,307,293
Japanese spaniel,717,600
Japanese spaniel,218,207
Japanese spaniel,441,397
Japanese spaniel,220,300
Japanese spaniel,200,150
Japanese spaniel,368,317
Japanese spaniel,600,450
Japanese spaniel,200,180
Japanese spaniel,335,300
Japanese spaniel,600,530
Japanese spaniel,250,250
Japanese spaniel,598,701
Japanese spaniel,216,232
Japanese spaniel,341,282
Japanese spaniel,640,480
Japanese spaniel,200,168
Japanese spaniel,200,150
Japanese spaniel,500,375
Japanese spaniel,375,500
Japanese spaniel,435,328
Japanese spaniel,400,369
Japanese spaniel,600,449
Japanese spaniel,232,300
Japanese spaniel,325,340
Japanese spaniel,250,423
Japanese spaniel,230,216
Japanese spaniel,120,120
Japanese spaniel,290,290
Japanese spaniel,600,800
Japanese spaniel,465,576
Japanese spaniel,130,122
Japanese spaniel,150,150
Japanese spaniel,500,375
Japanese spaniel,300,225
Japanese spaniel,450,365
Japanese spaniel,275,371
Japanese spaniel,600,449
Japanese spaniel,269,292
Japanese spaniel,600,449
Japanese spaniel,360,254
Japanese spaniel,216,324
Japanese spaniel,200,191
Japanese spaniel,350,278
Japanese spaniel,220,220
Japanese spaniel,218,178
Japanese spaniel,480,427
Japanese spaniel,200,309
Japanese spaniel,250,320
Japanese spaniel,277,232
Japanese spaniel,600,470
Japanese spaniel,180,156
Japanese spaniel,600,618
Japanese spaniel,227,204
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,500,334
Maltese dog,375,500
Maltese dog,500,375
Maltese dog,500,333
Maltese dog,500,375
Maltese dog,500,421
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,300,295
Maltese dog,500,375
Maltese dog,800,818
Maltese dog,500,332
Maltese dog,500,333
Maltese dog,500,412
Maltese dog,500,375
Maltese dog,500,333
Maltese dog,333,500
Maltese dog,375,500
Maltese dog,500,334
Maltese dog,500,374
Maltese dog,480,360
Maltese dog,500,332
Maltese dog,250,250
Maltese dog,500,333
Maltese dog,322,385
Maltese dog,500,375
Maltese dog,374,500
Maltese dog,500,375
Maltese dog,500,384
Maltese dog,460,306
Maltese dog,500,333
Maltese dog,500,333
Maltese dog,500,375
Maltese dog,417,500
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,332,500
Maltese dog,500,338
Maltese dog,500,375
Maltese dog,350,240
Maltese dog,383,500
Maltese dog,500,375
Maltese dog,333,500
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,500,335
Maltese dog,375,500
Maltese dog,375,500
Maltese dog,500,375
Maltese dog,375,500
Maltese dog,500,375
Maltese dog,500,426
Maltese dog,500,301
Maltese dog,500,375
Maltese dog,333,500
Maltese dog,500,375
Maltese dog,500,400
Maltese dog,299,395
Maltese dog,360,304
Maltese dog,378,500
Maltese dog,500,500
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,500,399
Maltese dog,500,375
Maltese dog,375,500
Maltese dog,375,500
Maltese dog,500,375
Maltese dog,333,500
Maltese dog,500,375
Maltese dog,358,500
Maltese dog,500,333
Maltese dog,500,500
Maltese dog,500,406
Maltese dog,400,300
Maltese dog,320,246
Maltese dog,500,336
Maltese dog,375,500
Maltese dog,500,375
Maltese dog,350,262
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,333,500
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,321,333
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,375,500
Maltese dog,500,333
Maltese dog,500,409
Maltese dog,500,375
Maltese dog,299,396
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,375,500
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,500,332
Maltese dog,455,500
Maltese dog,500,333
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,333,500
Maltese dog,480,361
Maltese dog,480,360
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,441,500
Maltese dog,400,500
Maltese dog,375,500
Maltese dog,500,322
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,500,500
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,500,333
Maltese dog,500,375
Maltese dog,500,333
Maltese dog,500,375
Maltese dog,500,334
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,322,457
Maltese dog,333,500
Maltese dog,500,333
Maltese dog,500,375
Maltese dog,333,500
Maltese dog,448,335
Maltese dog,500,375
Maltese dog,500,333
Maltese dog,500,333
Maltese dog,300,299
Maltese dog,320,240
Maltese dog,468,490
Maltese dog,480,500
Maltese dog,500,333
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,500,333
Maltese dog,500,375
Maltese dog,500,333
Maltese dog,500,375
Maltese dog,360,306
Maltese dog,242,229
Maltese dog,500,332
Maltese dog,448,336
Maltese dog,500,375
Maltese dog,500,446
Maltese dog,444,500
Maltese dog,485,500
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,300,337
Maltese dog,216,192
Maltese dog,500,375
Maltese dog,375,500
Maltese dog,480,361
Maltese dog,500,375
Maltese dog,500,373
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,500,400
Maltese dog,500,375
Maltese dog,500,334
Maltese dog,500,432
Maltese dog,500,332
Maltese dog,450,300
Maltese dog,500,333
Maltese dog,500,375
Maltese dog,500,334
Maltese dog,500,333
Maltese dog,375,500
Maltese dog,500,439
Maltese dog,500,375
Maltese dog,406,500
Maltese dog,500,375
Maltese dog,500,332
Maltese dog,500,333
Maltese dog,500,375
Maltese dog,480,500
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,1268,928
Maltese dog,480,361
Maltese dog,480,361
Maltese dog,375,500
Maltese dog,500,375
Maltese dog,500,333
Maltese dog,375,500
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,500,333
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,326,500
Maltese dog,500,333
Maltese dog,279,400
Maltese dog,333,500
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,500,299
Maltese dog,500,335
Maltese dog,500,375
Maltese dog,500,333
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,500,315
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,333,500
Maltese dog,445,500
Maltese dog,333,500
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,500,408
Maltese dog,500,375
Maltese dog,375,500
Maltese dog,375,500
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,500,333
Maltese dog,500,334
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,333,500
Maltese dog,500,375
Maltese dog,300,225
Maltese dog,199,217
Maltese dog,500,375
Maltese dog,500,333
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,500,375
Maltese dog,500,333
Maltese dog,500,332
Maltese dog,399,298
Pekinese,250,172
Pekinese,350,265
Pekinese,500,333
Pekinese,360,231
Pekinese,375,500
Pekinese,333,500
Pekinese,385,300
Pekinese,327,500
Pekinese,500,375
Pekinese,500,375
Pekinese,500,333
Pekinese,274,173
Pekinese,300,190
Pekinese,300,332
Pekinese,500,333
Pekinese,500,333
Pekinese,500,375
Pekinese,500,357
Pekinese,500,333
Pekinese,500,333
Pekinese,500,375
Pekinese,500,333
Pekinese,333,500
Pekinese,500,375
Pekinese,500,375
Pekinese,500,375
Pekinese,500,375
Pekinese,492,500
Pekinese,500,333
Pekinese,500,333
Pekinese,450,338
Pekinese,360,270
Pekinese,500,375
Pekinese,500,333
Pekinese,500,375
Pekinese,500,375
Pekinese,500,375
Pekinese,500,400
Pekinese,500,375
Pekinese,500,375
Pekinese,500,333
Pekinese,500,375
Pekinese,500,333
Pekinese,345,500
Pekinese,487,500
Pekinese,400,300
Pekinese,500,333
Pekinese,500,334
Pekinese,500,375
Pekinese,500,375
Pekinese,500,333
Pekinese,500,333
Pekinese,200,300
Pekinese,333,500
Pekinese,500,375
Pekinese,500,375
Pekinese,500,333
Pekinese,333,500
Pekinese,500,375
Pekinese,500,375
Pekinese,200,200
Pekinese,500,333
Pekinese,500,375
Pekinese,333,500
Pekinese,500,375
Pekinese,500,375
Pekinese,500,375
Pekinese,146,189
Pekinese,500,343
Pekinese,500,400
Pekinese,333,500
Pekinese,333,500
Pekinese,500,375
Pekinese,500,333
Pekinese,360,287
Pekinese,400,202
Pekinese,450,300
Pekinese,192,275
Pekinese,500,335
Pekinese,333,500
Pekinese,300,225
Pekinese,375,500
Pekinese,500,333
Pekinese,500,375
Pekinese,255,221
Pekinese,500,333
Pekinese,398,445
Pekinese,500,333
Pekinese,320,240
Pekinese,312,350
Pekinese,459,340
Pekinese,333,500
Pekinese,375,500
Pekinese,375,500
Pekinese,500,375
Pekinese,500,333
Pekinese,500,333
Pekinese,333,500
Pekinese,500,375
Pekinese,333,500
Pekinese,342,488
Pekinese,500,375
Pekinese,500,333
Pekinese,500,375
Pekinese,500,333
Pekinese,500,333
Pekinese,500,375
Pekinese,500,333
Pekinese,500,333
Pekinese,250,188
Pekinese,333,500
Pekinese,403,457
Pekinese,500,375
Pekinese,400,324
Pekinese,500,333
Pekinese,500,375
Pekinese,500,375
Pekinese,500,333
Pekinese,500,468
Pekinese,500,375
Pekinese,375,500
Pekinese,375,500
Pekinese,500,333
Pekinese,500,375
Pekinese,500,375
Pekinese,500,333
Pekinese,1280,960
Pekinese,250,179
Pekinese,500,375
Pekinese,277,206
Pekinese,300,225
Pekinese,500,375
Pekinese,800,600
Pekinese,190,200
Pekinese,320,390
Pekinese,500,375
Pekinese,500,498
Pekinese,341,360
Pekinese,500,267
Pekinese,500,333
Pekinese,500,375
Pekinese,500,375
Pekinese,500,357
Pekinese,500,375
Pekinese,500,375
Pekinese,350,307
Pekinese,350,323
Pekinese,333,500
Pekinese,500,333
Shih-Tzu,500,375
Shih-Tzu,270,360
Shih-Tzu,333,500
Shih-Tzu,333,500
Shih-Tzu,500,375
Shih-Tzu,500,350
Shih-Tzu,500,375
Shih-Tzu,500,375
Shih-Tzu,375,500
Shih-Tzu,320,240
Shih-Tzu,500,375
Shih-Tzu,500,326
Shih-Tzu,353,500
Shih-Tzu,500,375
Shih-Tzu,500,375
Shih-Tzu,500,375
Shih-Tzu,500,334
Shih-Tzu,333,500
Shih-Tzu,375,500
Shih-Tzu,338,500
Shih-Tzu,500,438
Shih-Tzu,500,376
Shih-Tzu,500,375
Shih-Tzu,500,375
Shih-Tzu,500,500
Shih-Tzu,500,375
Shih-Tzu,500,243
Shih-Tzu,500,333
Shih-Tzu,500,375
Shih-Tzu,500,375
Shih-Tzu,345,500
Shih-Tzu,500,375
Shih-Tzu,500,375
Shih-Tzu,375,500
Shih-Tzu,500,375
Shih-Tzu,500,335
Shih-Tzu,500,375
Shih-Tzu,375,500
Shih-Tzu,500,375
Shih-Tzu,500,375
Shih-Tzu,500,375
Shih-Tzu,360,244
Shih-Tzu,333,500
Shih-Tzu,500,333
Shih-Tzu,320,240
Shih-Tzu,500,364
Shih-Tzu,500,375
Shih-Tzu,500,375
Shih-Tzu,500,390
Shih-Tzu,500,375
Shih-Tzu,376,500
Shih-Tzu,497,500
Shih-Tzu,500,375
Shih-Tzu,375,500
Shih-Tzu,336,500
Shih-Tzu,500,500
Shih-Tzu,375,500
Shih-Tzu,360,272
Shih-Tzu,500,386
Shih-Tzu,500,346
Shih-Tzu,375,500
Shih-Tzu,300,225
Shih-Tzu,333,500
Shih-Tzu,500,375
Shih-Tzu,500,375
Shih-Tzu,500,321
Shih-Tzu,500,378
Shih-Tzu,375,500
Shih-Tzu,500,375
Shih-Tzu,500,374
Shih-Tzu,500,357
Shih-Tzu,500,375
Shih-Tzu,500,375
Shih-Tzu,375,500
Shih-Tzu,500,333
Shih-Tzu,500,375
Shih-Tzu,500,334
Shih-Tzu,500,333
Shih-Tzu,500,375
Shih-Tzu,500,375
Shih-Tzu,500,375
Shih-Tzu,332,500
Shih-Tzu,500,333
Shih-Tzu,500,375
Shih-Tzu,404,270
Shih-Tzu,360,270
Shih-Tzu,500,400
Shih-Tzu,394,250
Shih-Tzu,375,500
Shih-Tzu,500,333
Shih-Tzu,500,375
Shih-Tzu,500,375
Shih-Tzu,500,375
Shih-Tzu,300,291
Shih-Tzu,500,375
Shih-Tzu,500,375
Shih-Tzu,425,480
Shih-Tzu,500,375
Shih-Tzu,300,225
Shih-Tzu,500,375
Shih-Tzu,500,374
Shih-Tzu,500,375
Shih-Tzu,500,375
Shih-Tzu,500,375
Shih-Tzu,375,500
Shih-Tzu,400,409
Shih-Tzu,500,375
Shih-Tzu,500,375
Shih-Tzu,294,220
Shih-Tzu,500,375
Shih-Tzu,500,333
Shih-Tzu,500,375
Shih-Tzu,500,334
Shih-Tzu,416,500
Shih-Tzu,494,500
Shih-Tzu,500,375
Shih-Tzu,410,308
Shih-Tzu,500,353
Shih-Tzu,375,500
Shih-Tzu,500,345
Shih-Tzu,500,375
Shih-Tzu,500,375
Shih-Tzu,289,243
Shih-Tzu,500,375
Shih-Tzu,500,375
Shih-Tzu,375,500
Shih-Tzu,375,500
Shih-Tzu,500,375
Shih-Tzu,584,390
Shih-Tzu,500,375
Shih-Tzu,500,333
Shih-Tzu,500,333
Shih-Tzu,500,375
Shih-Tzu,319,480
Shih-Tzu,333,441
Shih-Tzu,500,374
Shih-Tzu,500,375
Shih-Tzu,500,375
Shih-Tzu,500,375
Shih-Tzu,291,267
Shih-Tzu,500,375
Shih-Tzu,400,500
Shih-Tzu,500,375
Shih-Tzu,375,500
Shih-Tzu,500,375
Shih-Tzu,500,375
Shih-Tzu,500,375
Shih-Tzu,500,375
Shih-Tzu,382,500
Shih-Tzu,500,376
Shih-Tzu,500,475
Shih-Tzu,500,375
Shih-Tzu,332,500
Shih-Tzu,331,500
Shih-Tzu,500,375
Shih-Tzu,500,333
Shih-Tzu,500,375
Shih-Tzu,500,332
Shih-Tzu,500,375
Shih-Tzu,500,375
Shih-Tzu,500,375
Shih-Tzu,360,315
Shih-Tzu,500,375
Shih-Tzu,500,375
Shih-Tzu,500,375
Shih-Tzu,500,375
Shih-Tzu,500,399
Shih-Tzu,500,444
Shih-Tzu,455,500
Shih-Tzu,500,375
Shih-Tzu,500,333
Shih-Tzu,375,500
Shih-Tzu,500,375
Shih-Tzu,500,375
Shih-Tzu,333,500
Shih-Tzu,500,334
Shih-Tzu,500,375
Shih-Tzu,334,250
Shih-Tzu,500,375
Shih-Tzu,400,447
Shih-Tzu,500,333
Shih-Tzu,500,330
Shih-Tzu,374,500
Shih-Tzu,500,375
Shih-Tzu,375,344
Shih-Tzu,500,375
Shih-Tzu,500,333
Shih-Tzu,500,375
Shih-Tzu,500,375
Shih-Tzu,500,375
Shih-Tzu,334,500
Shih-Tzu,500,375
Shih-Tzu,332,500
Shih-Tzu,500,375
Shih-Tzu,500,333
Shih-Tzu,500,332
Shih-Tzu,500,356
Shih-Tzu,500,375
Shih-Tzu,480,360
Shih-Tzu,500,375
Shih-Tzu,500,375
Shih-Tzu,500,375
Shih-Tzu,500,332
Shih-Tzu,467,500
Shih-Tzu,500,375
Shih-Tzu,500,375
Shih-Tzu,500,375
Shih-Tzu,500,333
Shih-Tzu,375,500
Shih-Tzu,500,476
Shih-Tzu,334,500
Shih-Tzu,325,500
Shih-Tzu,500,333
Shih-Tzu,500,333
Blenheim spaniel,333,500
Blenheim spaniel,480,480
Blenheim spaniel,500,333
Blenheim spaniel,97,134
Blenheim spaniel,309,459
Blenheim spaniel,176,200
Blenheim spaniel,500,500
Blenheim spaniel,300,392
Blenheim spaniel,640,480
Blenheim spaniel,318,300
Blenheim spaniel,500,375
Blenheim spaniel,500,338
Blenheim spaniel,400,246
Blenheim spaniel,334,500
Blenheim spaniel,500,500
Blenheim spaniel,500,432
Blenheim spaniel,500,375
Blenheim spaniel,500,368
Blenheim spaniel,198,255
Blenheim spaniel,500,301
Blenheim spaniel,148,185
Blenheim spaniel,500,333
Blenheim spaniel,1092,1662
Blenheim spaniel,500,400
Blenheim spaniel,500,397
Blenheim spaniel,500,338
Blenheim spaniel,500,357
Blenheim spaniel,257,167
Blenheim spaniel,450,306
Blenheim spaniel,500,334
Blenheim spaniel,175,204
Blenheim spaniel,330,222
Blenheim spaniel,366,350
Blenheim spaniel,500,333
Blenheim spaniel,250,333
Blenheim spaniel,500,337
Blenheim spaniel,500,375
Blenheim spaniel,400,299
Blenheim spaniel,366,421
Blenheim spaniel,313,341
Blenheim spaniel,500,479
Blenheim spaniel,265,184
Blenheim spaniel,181,285
Blenheim spaniel,300,225
Blenheim spaniel,418,255
Blenheim spaniel,500,375
Blenheim spaniel,424,270
Blenheim spaniel,175,280
Blenheim spaniel,500,357
Blenheim spaniel,303,250
Blenheim spaniel,500,375
Blenheim spaniel,500,333
Blenheim spaniel,250,198
Blenheim spaniel,200,200
Blenheim spaniel,700,650
Blenheim spaniel,500,375
Blenheim spaniel,500,375
Blenheim spaniel,374,500
Blenheim spaniel,145,232
Blenheim spaniel,230,217
Blenheim spaniel,500,334
Blenheim spaniel,409,307
Blenheim spaniel,263,288
Blenheim spaniel,150,150
Blenheim spaniel,404,279
Blenheim spaniel,300,225
Blenheim spaniel,374,500
Blenheim spaniel,304,402
Blenheim spaniel,456,296
Blenheim spaniel,500,332
Blenheim spaniel,444,516
Blenheim spaniel,400,300
Blenheim spaniel,357,500
Blenheim spaniel,500,333
Blenheim spaniel,300,222
Blenheim spaniel,522,391
Blenheim spaniel,300,258
Blenheim spaniel,250,310
Blenheim spaniel,500,375
Blenheim spaniel,320,247
Blenheim spaniel,500,375
Blenheim spaniel,400,341
Blenheim spaniel,353,360
Blenheim spaniel,295,285
Blenheim spaniel,500,375
Blenheim spaniel,533,294
Blenheim spaniel,500,375
Blenheim spaniel,500,375
Blenheim spaniel,323,450
Blenheim spaniel,468,351
Blenheim spaniel,500,333
Blenheim spaniel,426,320
Blenheim spaniel,500,348
Blenheim spaniel,250,250
Blenheim spaniel,500,375
Blenheim spaniel,333,500
Blenheim spaniel,500,400
Blenheim spaniel,480,360
Blenheim spaniel,500,333
Blenheim spaniel,400,266
Blenheim spaniel,300,225
Blenheim spaniel,500,400
Blenheim spaniel,400,300
Blenheim spaniel,804,1066
Blenheim spaniel,250,200
Blenheim spaniel,276,280
Blenheim spaniel,200,150
Blenheim spaniel,357,500
Blenheim spaniel,778,584
Blenheim spaniel,333,500
Blenheim spaniel,208,198
Blenheim spaniel,329,500
Blenheim spaniel,450,267
Blenheim spaniel,320,255
Blenheim spaniel,500,416
Blenheim spaniel,375,500
Blenheim spaniel,500,375
Blenheim spaniel,520,429
Blenheim spaniel,200,144
Blenheim spaniel,640,487
Blenheim spaniel,250,222
Blenheim spaniel,500,333
Blenheim spaniel,372,415
Blenheim spaniel,418,307
Blenheim spaniel,353,279
Blenheim spaniel,1584,1660
Blenheim spaniel,500,338
Blenheim spaniel,200,194
Blenheim spaniel,404,300
Blenheim spaniel,500,396
Blenheim spaniel,220,220
Blenheim spaniel,400,300
Blenheim spaniel,600,531
Blenheim spaniel,400,487
Blenheim spaniel,400,300
Blenheim spaniel,338,450
Blenheim spaniel,500,333
Blenheim spaniel,500,260
Blenheim spaniel,241,292
Blenheim spaniel,307,230
Blenheim spaniel,273,274
Blenheim spaniel,389,400
Blenheim spaniel,250,200
Blenheim spaniel,380,229
Blenheim spaniel,500,338
Blenheim spaniel,500,375
Blenheim spaniel,500,374
Blenheim spaniel,900,600
Blenheim spaniel,265,306
Blenheim spaniel,450,338
Blenheim spaniel,300,341
Blenheim spaniel,960,1280
Blenheim spaniel,375,500
Blenheim spaniel,600,394
Blenheim spaniel,250,233
Blenheim spaniel,350,321
Blenheim spaniel,200,200
Blenheim spaniel,300,199
Blenheim spaniel,710,500
Blenheim spaniel,300,400
Blenheim spaniel,1250,765
Blenheim spaniel,300,450
Blenheim spaniel,500,368
Blenheim spaniel,500,375
Blenheim spaniel,190,270
Blenheim spaniel,292,416
Blenheim spaniel,200,299
Blenheim spaniel,410,306
Blenheim spaniel,500,380
Blenheim spaniel,225,180
Blenheim spaniel,500,375
Blenheim spaniel,500,375
Blenheim spaniel,1024,768
Blenheim spaniel,392,397
Blenheim spaniel,320,240
Blenheim spaniel,459,505
Blenheim spaniel,300,225
Blenheim spaniel,477,494
Blenheim spaniel,375,500
Blenheim spaniel,500,333
Blenheim spaniel,244,250
Blenheim spaniel,350,368
Blenheim spaniel,435,326
Blenheim spaniel,300,225
Blenheim spaniel,250,350
Blenheim spaniel,500,333
Blenheim spaniel,800,650
Blenheim spaniel,600,550
papillon,500,357
papillon,500,375
papillon,250,423
papillon,326,247
papillon,474,338
papillon,375,500
papillon,375,500
papillon,336,500
papillon,400,500
papillon,500,375
papillon,500,400
papillon,514,455
papillon,500,341
papillon,338,500
papillon,500,333
papillon,333,500
papillon,223,185
papillon,200,209
papillon,452,500
papillon,500,332
papillon,334,500
papillon,500,402
papillon,400,499
papillon,250,212
papillon,500,375
papillon,250,250
papillon,500,364
